料品,品名,库位,批号,出,入
101312-10,(禾美)靓虾王香软米10,4A02,201110003,4.0,0.0
101312-10,(禾美)靓虾王香软米10,4AH2,201110003,0.0,4.0
101312-85,(禾美)靓虾王香软米2.5*10,3A07,201108001,70.0,0.0
101312-85,(禾美)靓虾王香软米2.5*10,4AP1,201108001,0.0,70.0
101401-10,(紫色)米皇坊小农粘米10,4AH2,201031032,0.0,24.0
101401-10,(紫色)米皇坊小农粘米10,4BH0,201031032,24.0,0.0
100601-31,(红色）新米红曼哈浓香泰国茉莉香米1*20,3A09,201103010,14.0,0.0
100601-31,(红色）新米红曼哈浓香泰国茉莉香米1*20,3AP1,201112010,3.0,0.0
100601-31,(红色）新米红曼哈浓香泰国茉莉香米1*20,4AH1,201103010,0.0,14.0
100601-31,(红色）新米红曼哈浓香泰国茉莉香米1*20,4AH1,201112010,0.0,3.0
100601-10,(红色）新米红曼哈浓香泰国茉莉香米10,4A01,201111003,43.0,0.0
100601-10,(红色）新米红曼哈浓香泰国茉莉香米10,4AH2,201111003,0.0,43.0
100601-25,(红色）新米红曼哈浓香泰国茉莉香米25,4A01,201111003,35.0,0.0
100601-25,(红色）新米红曼哈浓香泰国茉莉香米25,4AH4,201111003,0.0,35.0
100601-35,(红色）新米红曼哈浓香泰国茉莉香米5*5,4A00,201029056,0.0,7.0
100601-35,(红色）新米红曼哈浓香泰国茉莉香米5*5,4BH0,201029056,7.0,0.0
170151-36,东北长粒米（稻花香2号）5*6,4A00,201113012,0.0,45.0
170151-36,东北长粒米（稻花香2号）5*6,糙米线库位,201113012,45.0,0.0
105801-25,为食猫牙米25,4A08,201031038,0.0,38.0
105801-25,为食猫牙米25,4AH5,201031038,0.0,11.0
105801-25,为食猫牙米25,4BH0,201031038,49.0,0.0
105801-35,为食猫牙米5*5,3A07,201024018,35.0,0.0
105801-35,为食猫牙米5*5,4A00,201024018,0.0,8.0
105801-35,为食猫牙米5*5,4AH1,201024018,0.0,27.0
103909-15,今西利哈旺油粘米15,4A01,201110004,0.0,14.0
103909-15,今西利哈旺油粘米15,4A05,201110004,14.0,0.0
103912-15,今西利富客酒店米15,4AH3,201028035,70.0,0.0
103912-15,今西利富客酒店米15,4AH4,201028035,0.0,70.0
103912-25,今西利富客酒店米25,4A04,201106009,0.0,30.0
103912-25,今西利富客酒店米25,4A08,201106009,30.0,0.0
103907-10,华稻农臻选油粘米10,4A02,201106003,24.0,0.0
103907-10,华稻农臻选油粘米10,4A07,201106003,0.0,104.0
103907-10,华稻农臻选油粘米10,4B01,201106003,80.0,0.0
103907-35,华稻农臻选油粘米5*5,3A07,201013024,24.0,0.0
103907-35,华稻农臻选油粘米5*5,4AP4,201013024,0.0,24.0
101502-15,咪姥臻品小农粘15,4A09,201106009,55.0,0.0
101502-15,咪姥臻品小农粘15,4AH3,201106009,0.0,55.0
101503-15,咪姥葆健油粘15,4A04,201104002,0.0,44.0
101503-15,咪姥葆健油粘15,4A04,201109007,201.0,0.0
101503-15,咪姥葆健油粘15,4AH3,201104002,44.0,0.0
101503-15,咪姥葆健油粘15,4AH3,201109007,0.0,201.0
103901-10,商道太粮靓米皇10,3A09,201103006,40.0,0.0
103901-10,商道太粮靓米皇10,4AH2,201103006,0.0,40.0
160205-40,喜之粮水阁长粒香米10*2,3A00,201109005,30.0,0.0
160205-40,喜之粮水阁长粒香米10*2,3A08,201023042,16.0,0.0
160205-40,喜之粮水阁长粒香米10*2,3A09,201023042,0.0,16.0
160205-40,喜之粮水阁长粒香米10*2,3AP1,201109005,0.0,30.0
160204-10,喜之粮湖蟹卧田米10,3AP1,200907032-01,0.0,1.0
160204-10,喜之粮湖蟹卧田米10,4AH0,200907032-01,1.0,0.0
160204-40,喜之粮湖蟹卧田米10*2,3A03,201109006,115.0,0.0
160204-40,喜之粮湖蟹卧田米10*2,3A09,201109006,0.0,90.0
160204-40,喜之粮湖蟹卧田米10*2,3AP1,201109006,0.0,25.0
160204-10,喜之粮湖蟹卧田米5*5,4A00,201112013,0.0,128.0
160204-35,喜之粮湖蟹卧田米5*5,糙米线库位,201112013,128.0,0.0
170103-10,天优岭南（丝苗）大米10,4A03,201107003,3.0,0.0
170103-10,天优岭南（丝苗）大米10,4AH2,201107003,0.0,3.0
105803-10,太粮巴吞香米10,4A05,201112008,0.0,11.0
105803-10,太粮巴吞香米10,4A05,201113004,0.0,20.0
105803-10,太粮巴吞香米10,4AP6,201113004,20.0,0.0
105803-10,太粮巴吞香米10,4B01,201112008,11.0,0.0
100101-25,太粮王泰国茉莉香米25,4AH4,200917050,0.0,10.0
100101-25,太粮王泰国茉莉香米25,4AH5,200917050,10.0,0.0
105809-05,太粮稻香粘5,4BH0,200922011,55.0,0.0
105809-05,太粮稻香粘5,4BH2,200922011,0.0,55.0
107006-35,太粮良谷纪臻选东北大米5*5,3AP1,201106012,18.0,0.0
107006-35,太粮良谷纪臻选东北大米5*5,4AH1,201106012,0.0,18.0
101301-31,太粮靓虾王香软米1*25,3A09,201110007,21.0,0.0
101301-31,太粮靓虾王香软米1*25,4AH1,201110007,0.0,21.0
101301-10,太粮靓虾王香软米10,4A06,201106004,0.0,1326.0
101301-10,太粮靓虾王香软米10,4AP6,201114005,0.0,20.0
101301-10,太粮靓虾王香软米10,4B02,201106004,1326.0,0.0
101301-10,太粮靓虾王香软米10,4B02,201114005,20.0,0.0
101301-15,太粮靓虾王香软米15,4A01,201111005,31.0,0.0
101301-15,太粮靓虾王香软米15,4B01,201111005,0.0,31.0
101301-32,太粮靓虾王香软米2*10,3A09,201031042,3.0,0.0
101301-32,太粮靓虾王香软米2*10,4AP1,201031042,0.0,3.0
101301-85,太粮靓虾王香软米2.5*10,3A08,201110007,31.0,0.0
101301-85,太粮靓虾王香软米2.5*10,4A00,201110007,6.0,0.0
101301-85,太粮靓虾王香软米2.5*10,4AB3,201110007,0.0,37.0
101301-35,太粮靓虾王香软米5*5,4A00,201107005,0.0,209.0
101301-35,太粮靓虾王香软米5*5,4B02,201107005,199.0,0.0
101301-35,太粮靓虾王香软米5*5,4B03,201107005,10.0,0.0
101301-08,太粮靓虾王香软米8,4A01,201110006,115.0,0.0
101301-08,太粮靓虾王香软米8,4A03,201110006,0.0,115.0
101310-10,太粮靓虾王（晶品）香软米10,3A01,201030044,30.0,0.0
101310-10,太粮靓虾王（晶品）香软米10,4AH2,201030044,0.0,30.0
101310-32,太粮靓虾王（晶品）香软米2*10,3A07,201030044,15.0,0.0
101310-32,太粮靓虾王（晶品）香软米2*10,4AP1,201030044,0.0,15.0
103908-10,太粮马霸优粘10,4A07,201024007,5.0,0.0
103908-10,太粮马霸优粘10,4AH2,201024007,0.0,5.0
107002-35,宫粥(稻花香)米5*5,4A00,200927010,0.0,3.0
107002-35,宫粥(稻花香)米5*5,4A00,201106014,0.0,48.0
107002-35,宫粥(稻花香)米5*5,糙米线库位,200927010,3.0,0.0
107002-35,宫粥(稻花香)米5*5,糙米线库位,201106014,48.0,0.0
107001-10,宫粥东北大米10,3AP1,201109005,68.0,0.0
107001-10,宫粥东北大米10,4AH2,201106015,0.0,32.0
107001-10,宫粥东北大米10,4AH2,201109005,0.0,68.0
107001-10,宫粥东北大米10,糙米线库位,201106015,32.0,0.0
107001-32,宫粥东北大米2*10,3A09,201030045,38.0,0.0
107001-32,宫粥东北大米2*10,4AP2,201030045,0.0,38.0
107001-25,宫粥东北大米25,4AH5,201103014,0.0,46.0
107001-25,宫粥东北大米25,4AH5,201113011,0.0,40.0
107001-25,宫粥东北大米25,糙米线库位,201103014,46.0,0.0
107001-25,宫粥东北大米25,糙米线库位,201113011,40.0,0.0
107001-35,宫粥东北大米5*5,4A00,201106015,0.0,338.0
107001-35,宫粥东北大米5*5,糙米线库位,201106015,338.0,0.0
107011-55,宫粥（御泽）贡香米2.5,4A00,200808015-01,0.0,2.0
107011-55,宫粥（御泽）贡香米2.5,4AH0,200808015-01,2.0,0.0
107011-85,宫粥（御泽）贡香米2.5*10,3AP1,201023043,20.0,0.0
107011-85,宫粥（御泽）贡香米2.5*10,4AP1,201023043,0.0,20.0
107011-35,宫粥（御泽）贡香米5*5,3A00,201113006,35.0,0.0
107011-35,宫粥（御泽）贡香米5*5,3AP1,201113006,0.0,35.0
103903-25,富贵玲珑小农粘米25,4A08,201103007,15.0,0.0
103903-25,富贵玲珑小农粘米25,4AH4,201103007,0.0,15.0
103903-25,富贵玲珑小农粘米25,4B01,201101001,35.0,0.0
103903-25,富贵玲珑小农粘米25,4BH0,201101001,0.0,35.0
160101-10,帝皇鹰米满香米10,3A01,201023095,0.0,595.0
160101-10,帝皇鹰米满香米10,3A02,201023095,2658.0,0.0
160101-10,帝皇鹰米满香米10,3A06,201023095,0.0,2063.0
160101-10,帝皇鹰米满香米10,4A07,201018023,41.0,0.0
160101-10,帝皇鹰米满香米10,4A09,201018023,0.0,2.0
160101-10,帝皇鹰米满香米10,4AH2,201018023,0.0,39.0
105806-10,御泰坊茉莉香米10,4A07,201110002,0.0,37.0
105806-10,御泰坊茉莉香米10,4B01,201110002,37.0,0.0
105806-35,御泰坊茉莉香米5*5,3A02,201026034,3.0,0.0
105806-35,御泰坊茉莉香米5*5,3A04,201017054,0.0,110.0
105806-35,御泰坊茉莉香米5*5,3A04,201026034,0.0,4.0
105806-35,御泰坊茉莉香米5*5,4A00,201026034,1.0,0.0
105806-35,御泰坊茉莉香米5*5,4AP4,201017054,110.0,0.0
100604-10,曼哈浓香德莉进口香米10,4A07,201030036,0.0,107.0
100604-10,曼哈浓香德莉进口香米10,4B03,201030036,107.0,0.0
100604-35,曼哈浓香德莉进口香米5*5,3A07,201103010,0.0,38.0
100604-35,曼哈浓香德莉进口香米5*5,3A08,201103010,39.0,0.0
100604-35,曼哈浓香德莉进口香米5*5,4A09,201103010,0.0,1.0
100620-32,曼哈浓香泰国糯米2*10,3A00,201026033,75.0,0.0
100620-32,曼哈浓香泰国糯米2*10,4AP1,201026033,0.0,75.0
100606-35,曼哈浓香泰粮王府香米5*5,4A00,201021022,16.0,0.0
100606-35,曼哈浓香泰粮王府香米5*5,4B02,201021022,38.0,0.0
100606-35,曼哈浓香泰粮王府香米5*5,4B03,201021022,0.0,54.0
100607-10,曼哈浓香精选小茉莉香米10,3A06,201023094,95.0,0.0
100607-10,曼哈浓香精选小茉莉香米10,3AP1,201023094,0.0,95.0
100605-85,曼哈浓香莲花香米2.5*10,3AP1,201109007,32.0,0.0
100605-85,曼哈浓香莲花香米2.5*10,4AP1,201109007,0.0,32.0
100501-35,柬埔寨茉莉香米5*5,3A08,201112010,777.0,0.0
100501-35,柬埔寨茉莉香米5*5,3B08,201112010,0.0,777.0
105812-10,泰粮香米10,3A09,200909012,1.0,0.0
105812-10,泰粮香米10,4AH2,200909012,0.0,1.0
105812-35,泰粮香米5*5,4A02,201109003,0.0,112.0
105812-35,泰粮香米5*5,糙米线库位,201109003,112.0,0.0
105804-10,洋洋开心孙仙桃香米10,4A07,201021026,5.0,0.0
105804-10,洋洋开心孙仙桃香米10,4AH1,201021026,0.0,5.0
105804-15,洋洋开心孙仙桃香米15,4AH3,201028039,0.0,2.0
105804-15,洋洋开心孙仙桃香米15,4BH0,201028039,2.0,0.0
109001-53,珍の原TL.GABA大米（0.3*5）,4AH0,201113017,0.0,4.0
109001-53,珍の原TL.GABA大米（0.3*5）,糙米线库位,201113017,4.0,0.0
101402-10,米皇坊小农粘米10,4A05,201030034,0.0,16.0
101402-10,米皇坊小农粘米10,4A06,201105010,29.0,0.0
101402-10,米皇坊小农粘米10,4AH2,201105010,0.0,29.0
101402-10,米皇坊小农粘米10,4AH7,201030034,0.0,560.0
101402-10,米皇坊小农粘米10,4B01,201030034,576.0,0.0
101402-15,米皇坊小农粘米15,4AH3,201030034,0.0,21.0
101402-15,米皇坊小农粘米15,4B01,201030034,21.0,0.0
101402-85,米皇坊小农粘米2.5*10,3A09,201106001,50.0,0.0
101402-85,米皇坊小农粘米2.5*10,4A09,201106001,0.0,7.0
101402-85,米皇坊小农粘米2.5*10,4AP4,201106001,0.0,43.0
101406-15,米皇坊山水丝苗米15,4A06,201104004,73.0,0.0
101406-15,米皇坊山水丝苗米15,4AH3,201104004,0.0,73.0
101406-35,米皇坊山水丝苗米5*5,3A06,201028030,0.0,32.0
101406-35,米皇坊山水丝苗米5*5,4AP1,201028030,0.0,22.0
101406-35,米皇坊山水丝苗米5*5,4AP3,201028030,54.0,0.0
101420-10,米皇坊珍珠香米10,4A07,201019005,0.0,14.0
101420-10,米皇坊珍珠香米10,4A07,201030038,0.0,159.0
101420-10,米皇坊珍珠香米10,4AH2,201019005,14.0,0.0
101420-10,米皇坊珍珠香米10,4AP6,201030038,159.0,0.0
101420-15,米皇坊珍珠香米15,4AH3,201019043,88.0,0.0
101420-15,米皇坊珍珠香米15,4AH4,201019043,0.0,88.0
101420-25,米皇坊珍珠香米25,4A02,201103014,0.0,360.0
101420-25,米皇坊珍珠香米25,4A05,201113011,0.0,447.0
101420-25,米皇坊珍珠香米25,糙米线库位,201103014,360.0,0.0
101420-25,米皇坊珍珠香米25,糙米线库位,201113011,447.0,0.0
101420-35,米皇坊珍珠香米5*5,3A01,201106013,8.0,0.0
101420-35,米皇坊珍珠香米5*5,4A06,201113011,0.0,320.0
101420-35,米皇坊珍珠香米5*5,4AP3,201106013,0.0,8.0
101420-35,米皇坊珍珠香米5*5,糙米线库位,201113011,320.0,0.0
101602-25,米酷太粮马霸优粘25,4A00,201112004,20.0,0.0
101602-25,米酷太粮马霸优粘25,4AH4,201112004,0.0,20.0
101602-25,米酷太粮马霸优粘25,4BH0,201112004,4.0,0.0
101602-25,米酷太粮马霸优粘25,4BH4,201112004,0.0,4.0
180111-44,绿豆0.4,4A00,200908088-02,0.0,20.0
180111-44,绿豆0.4,4AH0,200908088-02,20.0,0.0
107014-35,良谷纪吉林小町5*5,4AP1,201112012,0.0,22.0
107014-35,良谷纪吉林小町5*5,糙米线库位,201112012,22.0,0.0
107007-10,良谷纪（长粒香）米10,3A01,201023042,29.0,0.0
107007-10,良谷纪（长粒香）米10,4AH2,201023042,0.0,29.0
107007-10,良谷纪（长粒香）米10,4AP1,201106015,0.0,200.0
107007-10,良谷纪（长粒香）米10,糙米线库位,201106015,200.0,0.0
101311-10,荟京选靓虾王米10,4A07,201023031,0.0,174.0
101311-10,荟京选靓虾王米10,4A07,201026030,0.0,28.0
101311-10,荟京选靓虾王米10,4AP5,201026030,28.0,0.0
101311-10,荟京选靓虾王米10,4B02,201023031,174.0,0.0
101101-32,金太粮油粘王2*10,3A09,201028031,37.0,0.0
101101-32,金太粮油粘王2*10,3AP1,201028031,0.0,5.0
101101-32,金太粮油粘王2*10,4AP1,201028031,0.0,32.0
104101-10,金稻鱼太粮家乐米10,4A07,201013017,0.0,64.0
104101-10,金稻鱼太粮家乐米10,4A07,201031037,15.0,0.0
104101-10,金稻鱼太粮家乐米10,4AH2,201031037,0.0,15.0
104101-10,金稻鱼太粮家乐米10,4B01,201013017,64.0,0.0
104101-35,金稻鱼太粮家乐米5*5,3A01,201107009,38.0,0.0
104101-35,金稻鱼太粮家乐米5*5,4AP1,201107009,0.0,38.0
103911-15,靓当家太粮虾仔米15,4A05,201030031,140.0,0.0
103911-15,靓当家太粮虾仔米15,4A08,201030031,0.0,140.0
107003-25,香雪珍珠米25,4A01,201103015,0.0,162.0
107003-25,香雪珍珠米25,糙米线库位,201103015,162.0,0.0
101202-35,马坝龙三星油粘米5*5,4A00,201025027,1.0,0.0
101202-35,马坝龙三星油粘米5*5,4AH1,201025027,0.0,1.0
101201-35,马坝龙五星油粘米5*5,4A00,201031033,0.0,3.0
101201-35,马坝龙五星油粘米5*5,4B03,201031033,3.0,0.0
150103-15,鸣象富桂银粘米15,3A07,201109007,35.0,0.0
150103-15,鸣象富桂银粘米15,4AH3,201109007,0.0,35.0
150103-35,鸣象富桂银粘米5*5,3A07,201111012,27.0,0.0
150103-35,鸣象富桂银粘米5*5,3A09,201028032,16.0,0.0
150103-35,鸣象富桂银粘米5*5,4A08,201028032,0.0,16.0
150103-35,鸣象富桂银粘米5*5,4A08,201111012,0.0,27.0
150107-10,鸣象（丝苗）米10,4A05,201102003,582.0,0.0
150107-10,鸣象（丝苗）米10,4A06,201030033,0.0,5.0
150107-10,鸣象（丝苗）米10,4A06,201102003,0.0,582.0
150107-10,鸣象（丝苗）米10,4B02,201030033,5.0,0.0
150107-35,鸣象（丝苗）米5*5,3A00,201111012,57.0,0.0
150107-35,鸣象（丝苗）米5*5,4AP2,201111012,0.0,57.0
150101-10,鸣象（尊桂）油粘米10,4A07,201029043,0.0,61.0
150101-10,鸣象（尊桂）油粘米10,4B01,201029043,61.0,0.0
150101-15,鸣象（尊桂）油粘米15,4A07,201106005,0.0,5.0
150101-15,鸣象（尊桂）油粘米15,4BH0,201106005,5.0,0.0
150101-25,鸣象（尊桂）油粘米25,4A09,201029043,44.0,0.0
150101-25,鸣象（尊桂）油粘米25,4AH4,201029043,0.0,44.0
150101-25,鸣象（尊桂）油粘米25,4AH4,201030033,0.0,40.0
150101-25,鸣象（尊桂）油粘米25,4BH0,201030033,40.0,0.0
150101-35,鸣象（尊桂）油粘米5*5,3A00,201011043,0.0,300.0
150101-35,鸣象（尊桂）油粘米5*5,3A02,201006103,0.0,332.0
150101-35,鸣象（尊桂）油粘米5*5,3A04,200914093,0.0,120.0
150101-35,鸣象（尊桂）油粘米5*5,3A04,201011043,300.0,0.0
150101-35,鸣象（尊桂）油粘米5*5,3AP1,200914092,326.0,0.0
150101-35,鸣象（尊桂）油粘米5*5,3AP1,200914093,120.0,0.0
150101-35,鸣象（尊桂）油粘米5*5,3AP1,201006103,928.0,0.0
150101-35,鸣象（尊桂）油粘米5*5,4A03,201006103,0.0,108.0
150101-35,鸣象（尊桂）油粘米5*5,4A04,201011036,151.0,0.0
150101-35,鸣象（尊桂）油粘米5*5,4A05,201006103,0.0,482.0
150101-35,鸣象（尊桂）油粘米5*5,4A06,201011036,0.0,151.0
150101-35,鸣象（尊桂）油粘米5*5,4A09,201006103,0.0,6.0
150101-35,鸣象（尊桂）油粘米5*5,4AH0,200914092,0.0,2.0
150101-35,鸣象（尊桂）油粘米5*5,4AP2,200914092,0.0,324.0
103902-10,鹰嘴香中国香米10,4A07,201105007,0.0,100.0
103902-10,鹰嘴香中国香米10,4AH2,201105007,100.0,0.0
103902-25,鹰嘴香中国香米25,4A07,201105007,2.0,0.0
103902-25,鹰嘴香中国香米25,4AH4,201031039,0.0,62.0
103902-25,鹰嘴香中国香米25,4AH4,201105007,0.0,2.0
103902-25,鹰嘴香中国香米25,4B01,201031039,62.0,0.0
180113-74,黄豆0.4*30,4A00,201102054,40.0,0.0
180113-74,黄豆0.4*30,4AH1,201102054,0.0,40.0
180115-44,黑米0.4,4A00,200811047-02,0.0,10.0
180115-44,黑米0.4,4AH0,200811047-02,10.0,0.0
180115-74,黑米0.4*30,4A00,200908105,23.0,0.0
180115-74,黑米0.4*30,4AH0,200908105,1.0,0.0
180115-74,黑米0.4*30,4AH1,200908105,0.0,24.0
101308-03,（信鲜）靓虾王香软米0.3*10,4AH0,200909011-07,1.0,0.0
101308-03,（信鲜）靓虾王香软米0.3*10,4AH1,200909011-07,0.0,1.0
101308-15,（信鲜）靓虾王香软米15,4A05,201106010,262.0,0.0
101308-15,（信鲜）靓虾王香软米15,4A08,201106010,0.0,262.0
101308-32,（信鲜）靓虾王香软米2*10,3A09,201024017,11.0,0.0
101308-32,（信鲜）靓虾王香软米2*10,4AP1,201024017,0.0,11.0
101308-25,（信鲜）靓虾王香软米25,4A00,201101001,5.0,0.0
101308-25,（信鲜）靓虾王香软米25,4B01,201101001,0.0,5.0
101308-33,（信鲜）靓虾王香软米（0.3*10）*5,3A09,201009024,27.0,0.0
101308-33,（信鲜）靓虾王香软米（0.3*10）*5,4AH1,201009024,0.0,27.0
101309-59,（圣禾）靓虾王12.5,4A02,201106009,0.0,1321.0
101309-59,（圣禾）靓虾王12.5,4A03,201106009,1321.0,0.0
101314-10,（抖音）信鲜靓虾王香软米10,4AP6,201105011,0.0,643.0
101314-10,（抖音）信鲜靓虾王香软米10,4B03,201105011,643.0,0.0
100603-32,（橙色）新版曼哈浓香泰国香米2*10,3A09,200918016,38.0,0.0
100603-32,（橙色）新版曼哈浓香泰国香米2*10,4AP1,200918016,0.0,38.0
100603-35,（橙色）新版曼哈浓香泰国香米5*5,4A00,201106008,7.0,0.0
100603-35,（橙色）新版曼哈浓香泰国香米5*5,4B02,201106008,0.0,7.0
100502-35,（橙色）柬埔寨茉莉香米5*5,3A00,200617002,0.0,39.0
100502-35,（橙色）柬埔寨茉莉香米5*5,3AP1,200617002,39.0,0.0
101601-25,（米酷）马坝银粘25,4A01,201107004,0.0,15.0
101601-25,（米酷）马坝银粘25,4A06,201107004,15.0,0.0
101306-74,（红香）靓虾王米0.4*50,3A00,201111008,15.0,0.0
101306-74,（红香）靓虾王米0.4*50,4A00,201111008,3.0,0.0
101306-74,（红香）靓虾王米0.4*50,4AH1,201111008,0.0,18.0
101306-83,（红香）靓虾王米1.5*15,3A09,201111008,38.0,0.0
101306-83,（红香）靓虾王米1.5*15,4AH1,201111008,0.0,38.0
101306-10,（红香）靓虾王米10,4A02,201112002,67.0,0.0
101306-10,（红香）靓虾王米10,4B01,201112002,0.0,67.0
101306-25,（红香）靓虾王米25,4AH4,201104001,5.0,0.0
101306-25,（红香）靓虾王米25,4AH5,201104001,0.0,5.0
101306-35,（红香）靓虾王米5*5,4A00,201110001,0.0,59.0
101306-35,（红香）靓虾王米5*5,4A05,201110001,0.0,200.0
101306-35,（红香）靓虾王米5*5,4B02,201110001,259.0,0.0
101302-10,（经典）靓虾王香软米10,4B03,201107006,100.0,0.0
101302-10,（经典）靓虾王香软米10,4BH0,201107006,0.0,100.0
101302-35,（经典）靓虾王香软米5*5,4A00,201105004,0.0,20.0
101302-35,（经典）靓虾王香软米5*5,4B03,201105004,20.0,0.0
101307-10,（西关）靓虾王米10,4AH2,201015020,0.0,17.0
101307-10,（西关）靓虾王米10,4BH0,201015020,17.0,0.0
101307-35,（西关）靓虾王米5*5,4A00,201113003,0.0,23.0
101307-35,（西关）靓虾王米5*5,4B02,201113003,23.0,0.0
101303-10,（靓虾）软米10,3A04,201105047,7.0,0.0
101303-10,（靓虾）软米10,4A02,201105047,0.0,7.0
101303-10,（靓虾）软米10,4AP5,201111007,0.0,210.0
101303-10,（靓虾）软米10,4AP6,201111007,210.0,0.0
103906-35,（鲜仔）五星丝苗米5*5,3A01,201111013,33.0,0.0
103906-35,（鲜仔）五星丝苗米5*5,4AP4,201111013,0.0,33.0
