库位,料品,品名,批号,可用数量,冻结数量,总数量
3A00,100101-35,太粮王泰国茉莉香米5*4,200101001,4,0,4
3A00,100502-35,（橙色）柬埔寨茉莉香米5*5,200617002,405,0,405
3A00,100604-35,曼哈浓香德莉进口香米5*5,200804009,3,0,3
3A00,100607-35,曼哈浓香精选小茉莉香米5*5,200805008,167,0,167
3A00,101301-31,太粮靓虾王香软米1*25,200813007,83,0,83
3A00,101301-85,太粮靓虾王香软米2.5*10,200813007,159,0,159
3A00,101306-44,（红香）靓虾王米0.4,200418012,7,0,7
3A00,101308-74,（信鲜）靓虾王香软米0.4*50,200818008,100,0,100
3A00,101310-32,太粮靓虾王（晶品）香软米2*10,200605009,75,0,75
3A00,104101-31,金稻鱼太粮家乐米1*25,200813008,105,0,105
3A00,104101-85,金稻鱼太粮家乐米2.5*10,200801008,16,0,16
3A00,105806-35,御泰坊茉莉香米5*5,200818013,400,0,400
3A00,107004-77,太粮小香童粥米0.75*40,200810010,1,0,1
3A00,107010-35,宫粥（凤鸣）贡香米5*5,200812020,197,0,197
3A00,150101-35,鸣象（尊桂）油粘米5*5,200812007,350,0,350
3A00,150103-35,鸣象富桂银粘米5*5,200812007,44,0,44
3A00,170101-40,正大臻选油粘米10*3,200731006,9,0,9
3A01,100101-40,太粮王泰国茉莉香米10*3,191119003,11,0,11
3A01,100101-40,太粮王泰国茉莉香米10*3,200101001,20,0,20
3A01,100605-85,曼哈浓香莲花香米2.5*10,200816001,67,0,67
3A01,101101-32,金太粮油粘王2*10,200612007,52,0,52
3A01,101201-15,马坝龙五星油粘米15,200817019,62,70,132
3A01,101402-85,米皇坊小农粘米2.5*10,200813009,101,0,101
3A01,101406-35,米皇坊山水丝苗米5*5,200814005,90,0,90
3A01,103901-10,商道太粮靓米皇10,200811021,50,0,50
3A01,104101-75,金稻鱼太粮家乐米0.5*50,200722007,2,0,2
3A01,104101-75,金稻鱼太粮家乐米0.5*50,200722021,18,0,18
3A01,104101-85,金稻鱼太粮家乐米2.5*10,200813008,90,0,90
3A01,105801-25,为食猫牙米25,200808010,7,0,7
3A01,107003-25,香雪珍珠米25,200812022,643,0,643
3A01,107006-35,太粮良谷纪臻选东北大米5*5,200813028,12,0,12
3A01,150103-35,鸣象富桂银粘米5*5,200818010,120,0,120
3A02,100501-35,柬埔寨茉莉香米5*5,200814006,170,0,170
3A02,100605-34,曼哈浓香莲花香米4*6,200816001,73,0,73
3A02,100607-35,曼哈浓香精选小茉莉香米5*5,200817001,201,0,201
3A02,103906-35,（鲜仔）五星丝苗米5*5,200813011,324,0,324
3A02,105812-35,泰粮香米5*5,200812007,271,0,271
3A03,105812-35,泰粮香米5*5,200812007,526,0,526
3A04,100501-35,柬埔寨茉莉香米5*5,200814006,648,0,648
3A04,100604-35,曼哈浓香德莉进口香米5*5,200804009,1296,0,1296
3A04,101308-31,（信鲜）靓虾王香软米1*25,200818008,16,0,16
3A04,101406-85,米皇坊山水丝苗米2.5*10,200814005,4,0,4
3A04,101420-10,米皇坊珍珠香米10,200812021,321,0,321
3A04,150101-35,鸣象（尊桂）油粘米5*5,200818010,648,0,648
3A04,170110-31,金稻鱼惠品太粮家乐米1*25,200630001,791,0,791
3A05,100501-35,柬埔寨茉莉香米5*5,200814006,324,0,324
3A05,101402-34,米皇坊小农粘米4*6,200813009,13,0,13
3A05,105806-35,御泰坊茉莉香米5*5,200813010,198,0,198
3A05,107012-35,良谷纪（稻花香2号）5*5,200811022,359,0,359
3A05,150107-35,鸣象（丝苗）米5*5,200818010,401,0,401
3A06,101101-32,金太粮油粘王2*10,200612007,209,0,209
3A06,107001-35,宫粥东北大米5*5,200814018,188,0,188
3A07,100607-35,曼哈浓香精选小茉莉香米5*5,200817001,194,0,194
3A07,101101-35,金太粮油粘王5*5,200811021,118,0,118
3A07,101301-75,太粮靓虾王香软米0.5*50,200813007,14,3,17
3A07,101302-10,经典靓虾王香软米10,200817019,730,0,730
3A07,101420-35,米皇坊珍珠香米5*5,200814019,39,0,39
3A07,104101-35,金稻鱼太粮家乐米5*5,20060199,139,0,139
3A07,107001-32,宫粥东北大米2*10,200810010,71,0,71
3A07,150101-35,鸣象（尊桂）油粘米5*5,200818010,179,0,179
3A08,100501-35,柬埔寨茉莉香米5*5,200814006,648,0,648
3A08,100502-35,（橙色）柬埔寨茉莉香米5*5,200613015,85,0,85
3A08,101420-25,米皇坊珍珠香米25,200811023,629,0,629
3A08,105812-35,泰粮香米5*5,200818010,1201,0,1201
3A08,105813-34,稻虾贡米4*6,200817016,1012,0,1012
3A08,107002-35,宫粥(稻花香)米5*5,200811022,69,0,69
3A08,107014-35,良谷纪吉林小町5*5,200808014,352,0,352
3A08,107090-25,香雪珍珠米（特通）25,200813028,605,0,605
3A08,150107-35,鸣象（丝苗）米5*5,200810014,4,0,4
3A08,170110-31,金稻鱼惠品太粮家乐米1*25,200629002,32,0,32
3A09,101121-35,金太粮秋田小町香米5*5,200814019,119,0,119
3A09,101201-25,马坝龙五星油粘米25,200817019,100,0,100
3A09,101301-32,太粮靓虾王香软米2*10,200813007,47,0,47
3A09,101301-75,太粮靓虾王香软米0.5*50,200708002,10,7,17
3A09,101306-74,（红香）靓虾王米0.4*50,200812006,200,0,200
3A09,101306-83,（红香）靓虾王米1.5*15,200808009,25,0,25
3A09,101308-25,（信鲜）靓虾王香软米25,200812006,84,0,84
3A09,101308-32,（信鲜）靓虾王香软米2*10,200818008,68,0,68
3A09,101308-33,（信鲜）靓虾王香软米（0.3*10）*5,200703002,1,0,1
3A09,101310-10,太粮靓虾王（晶品）香软米10,200808017,30,0,30
3A09,101312-85,(禾美)靓虾王香软米2.5*10,200812006,83,0,83
3A09,101317-85,(稻之金）靓虾王香软米2.5*10,200817019,15,0,15
3A09,101406-35,米皇坊山水丝苗米5*5,200729009,2,0,2
3A09,101420-10,米皇坊珍珠香米10,200811023,1,0,1
3A09,101501-10,咪姥小农粘10,200613001,8,0,8
3A09,107010-85,宫粥（凤鸣）贡香米2.5*10,200812020,220,0,220
3A09,107011-35,宫粥（御泽）贡香米5*5,200808015,215,0,215
3A09,107011-85,宫粥（御泽）贡香米2.5*10,200808015,179,0,179
3A09,150101-35,鸣象（尊桂）油粘米5*5,200811011,124,6,130
3A09,150107-35,鸣象（丝苗）米5*5,200816001,195,0,195
3AP1,100502-35,（橙色）柬埔寨茉莉香米5*5,200617002,39,0,39
3AP1,100502-35,（橙色）柬埔寨茉莉香米5*5,200620003,30,0,30
3AP1,100601-10,(红色）新米红曼哈浓香泰国茉莉香米10,200729010,20,0,20
3AP1,100620-32,曼哈浓香泰国糯米2*10,200810012,77,0,77
3AP1,101308-33,（信鲜）靓虾王香软米（0.3*10）*5,200703002,60,0,60
3AP1,101420-15,米皇坊珍珠香米15,200814019,50,0,50
3AP1,103907-35,华稻农臻选油粘米5*5,200818013,44,0,44
3AP1,103914-35,靓米皇丝苗米5*5,200722009,8,0,8
3AP1,104101-85,金稻鱼太粮家乐米2.5*10,200731036,1,0,1
3AP1,104101-85,金稻鱼太粮家乐米2.5*10,200801008,10,0,10
3AP1,107006-10,太粮良谷纪臻选东北大米10,200813028,3,0,3
3AP1,107007-10,良谷纪（长粒香）米10,200814018,199,0,199
4A00,100101-35,太粮王泰国茉莉香米5*4,191119004,5,0,5
4A00,100101-35,太粮王泰国茉莉香米5*4,191119006,29,0,29
4A00,100101-35,太粮王泰国茉莉香米5*4,191119010,15,0,15
4A00,100101-40,太粮王泰国茉莉香米10*3,200101001,5,0,5
4A00,100601-35,(红色）新米红曼哈浓香泰国茉莉香米5*5,200608011,38,0,38
4A00,100603-35,（橙色）新版曼哈浓香泰国香米5*5,200804001,39,0,39
4A00,101101-35,金太粮油粘王5*5,200811021,36,0,36
4A00,101104-31,金太粮有机米1*5,200513048,34,0,34
4A00,101104-31,金太粮有机米1*5,200805032,40,0,40
4A00,101104-85,金太粮有机米2.5*5,200616025,39,0,39
4A00,101104-85,金太粮有机米2.5*5,200805028,40,0,40
4A00,101121-05,金太粮秋田小町香米5,200728014,2,0,2
4A00,101303-10,（靓虾）软米10,200816006,1981,320,2301
4A00,101308-03,（信鲜）靓虾王香软米0.3*10,200703002,34,0,34
4A00,101310-02,太粮靓虾王（晶品）香软米2,200522011-01,7,0,7
4A00,101310-05,太粮靓虾王（晶品）香软米5,200414053-08,3,0,3
4A00,101310-35,太粮靓虾王（晶品）香软米5*5,200808017,3,0,3
4A00,101406-05,米皇坊山水丝苗米5,200624001-01,2,0,2
4A00,101406-35,米皇坊山水丝苗米5*5,200729009,30,0,30
4A00,101420-35,米皇坊珍珠香米5*5,200814019,67,0,67
4A00,105801-35,为食猫牙米5*5,200722010,1,0,1
4A00,105801-35,为食猫牙米5*5,200804008,55,0,55
4A00,105813-04,稻虾贡米4,200815007-01,2,0,2
4A00,107002-35,宫粥(稻花香)米5*5,200811022,62,0,62
4A00,107006-35,太粮良谷纪臻选东北大米5*5,200806014,241,0,241
4A00,150103-35,鸣象富桂银粘米5*5,200812007,27,0,27
4A00,160204-35,喜之粮湖蟹卧田米5*5,200805013,259,0,259
4A01,101308-25,（信鲜）靓虾王香软米25,200816007,482,0,482
4A01,101420-25,米皇坊珍珠香米25,200806013,1,0,1
4A01,104003-25,香满宾庭励福香米25,200725004,131,0,131
4A01,104003-25,香满宾庭励福香米25,200808008,300,0,300
4A01,105808-25,餐乐香米25,200818005,320,0,320
4A01,105890-25,太粮稻香粘25（特通）,200811002,344,0,344
4A01,160101-10,帝皇鹰米满香米10,200810001,936,0,936
4A01,160101-25,帝皇鹰米满香米25,200712015,387,0,387
4A01,160102-25,帝皇鹰喜之粮米25,200715051,13,0,13
4A02,101201-10,马坝龙五星油粘米10,200815005,657,0,657
4A02,101309-59,（圣禾）靓虾王12.5,200818003,901,0,901
4A02,101601-15,（米酷）马坝银粘15,200812004,105,0,105
4A02,103911-15,靓当家太粮虾仔米15,200813001,171,0,171
4A03,101201-15,马坝龙五星油粘米15,200817019,60,0,60
4A03,101301-10,太粮靓虾王香软米10,200816003,0,217,217
4A03,101314-10,（抖音）信鲜靓虾王香软米10,200818003,883,0,883
4A03,101405-10,米皇坊马坝银粘10,200708005,1248,0,1248
4A03,103907-10,华稻农臻选油粘米10,200817006,1172,0,1172
4A03,150101-10,鸣象（尊桂）油粘米10,200818002,408,0,408
4A03,160401-10,淮安稻虾贡米10,200725026,2752,0,2752
4A04,100604-25,曼哈浓香德莉进口香米25,200811001,259,0,259
4A04,101301-25,太粮靓虾王香软米25,200816003,339,0,339
4A04,101301-25,太粮靓虾王香软米25,200818006,405,0,405
4A04,101308-25,（信鲜）靓虾王香软米25,200811005,17,40,57
4A04,101308-25,（信鲜）靓虾王香软米25,200812002,35,0,35
4A04,101308-25,（信鲜）靓虾王香软米25,200815001,34,0,34
4A04,101401-25,(紫色)米皇坊小农粘米25,200805007,32,40,72
4A04,101402-25,（橙）散装米皇坊小农粘米25,200807001,143,0,143
4A04,101402-25,（橙）散装米皇坊小农粘米25,200818001,314,0,314
4A04,103903-25,富贵玲珑小农粘米25,200816007,24,0,24
4A04,103912-25,今西利富客酒店米25,200811009,82,0,82
4A04,103912-25,今西利富客酒店米25,200818003,400,0,400
4A04,104101-25,金稻鱼太粮家乐米25,200724028,90,0,90
4A04,105803-10,太粮巴吞香米10,200725032,2276,480,2756
4A04,160102-25,帝皇鹰喜之粮米25,200716036,553,0,553
4A04,160102-25,帝皇鹰喜之粮米25,200802003,50,0,50
4A05,101306-15,（红香）靓虾王米15,200818003,1456,0,1456
4A05,101309-59,（圣禾）靓虾王12.5,200813006,1,0,1
4A05,101405-10,米皇坊马坝银粘10,200702005,1221,0,1221
4A05,101405-15,米皇坊马坝银粘15,200818001,233,0,233
4A05,101601-10,（米酷）马坝银粘10,200818012,629,0,629
4A05,103909-15,今西利哈旺油粘米15,200804005,30,0,30
4A05,103909-15,今西利哈旺油粘米15,200811004,23,0,23
4A05,105803-10,太粮巴吞香米10,200802011,900,0,900
4A05,105806-10,御泰坊茉莉香米10,200802012,599,0,599
4A05,150107-10,鸣象（丝苗）米10,200818002,320,0,320
4A06,100501-10,柬埔寨茉莉香米10,200807002,463,0,463
4A06,101301-08,太粮靓虾王香软米8,200808007,160,80,240
4A06,101301-08,太粮靓虾王香软米8,200816003,499,0,499
4A06,101306-10,（红香）靓虾王米10,200815006,2057,80,2137
4A06,101601-10,（米酷）马坝银粘10,200818012,2034,0,2034
4A06,104101-10,金稻鱼太粮家乐米10,200813003,213,0,213
4A06,105801-10,为食猫牙米10,200818011,3482,0,3482
4A06,105803-10,太粮巴吞香米10,200725030,1235,0,1235
4A07,100604-10,曼哈浓香德莉进口香米10,200725009,5,0,5
4A07,100604-10,曼哈浓香德莉进口香米10,200804001,28,0,28
4A07,100604-10,曼哈浓香德莉进口香米10,200811001,278,0,278
4A07,100604-10,曼哈浓香德莉进口香米10,200813013,173,0,173
4A07,101308-10,（信鲜）靓虾王香软米10,200815001,489,0,489
4A07,103903-10,富贵玲珑小农粘米10,200816007,100,0,100
4A07,104002-10,香满宾庭华稻软米10,200818002,130,0,130
4A07,105803-10,太粮巴吞香米10,200812004,99,0,99
4A07,160101-10,帝皇鹰米满香米10,200810001,153,0,153
4A07,160401-10,淮安稻虾贡米10,200710052,234,0,234
4A08,101308-15,（信鲜）靓虾王香软米15,200716003,6,0,6
4A08,101308-15,（信鲜）靓虾王香软米15,200725002,5,0,5
4A08,101308-15,（信鲜）靓虾王香软米15,200808002,30,0,30
4A08,101308-15,（信鲜）靓虾王香软米15,200815001,248,0,248
4A08,101402-15,米皇坊小农粘米15,200812009,37,0,37
4A08,101402-15,米皇坊小农粘米15,200818004,140,0,140
4A08,103902-15,鹰嘴香中国香米15,200813002,120,0,120
4A08,103912-15,今西利富客酒店米15,200818003,300,0,300
4A08,104005-25,香满宾庭餐市多食堂米25,200811006,3,0,3
